Irradiance,Temperature,SurfaceAreaPerCell,NumCells,MaximumPower,DutyCycle
627.4770200235705,49.78594566239992,0.017246874034000804,30,42.66381366748823,52
799.9285995759775,13.59248617131096,0.04162764407600672,60,316.7860068209007,59
930.5326018061143,10.092701916192555,0.0253893030602978,90,342.7183119015227,52
668.1196258603775,11.76647744711325,0.027439807222823437,60,175.91516513189117,51
780.8966752574785,23.671296189470468,0.033761978622672446,30,119.42896810932577,57
805.6649616339647,35.316253227137366,0.033586139806061906,60,230.9708652987665,52
502.28043942062914,12.761181635513985,0.01269507486087703,90,91.3503306368946,55
392.86786586370545,10.226632581182692,0.04326163145350662,30,82.1319899809952,51
364.03626280521996,47.48364113835179,0.017093062128957576,90,74.56013273930358,56
401.15395160943876,42.87706543759719,0.038922865441986754,90,191.94830960086807,53
419.785437620727,42.367326845561244,0.040906839525126665,60,141.1283569780965,58
365.78211920644515,45.37697102007908,0.03859598136365255,90,171.1710631912644,59
902.5765339833538,38.00137091088418,0.033159105862165805,30,125.92379109191825,58
805.599305737783,14.176165189923257,0.010584359884355314,90,121.34088633817682,56
237.51717423297595,25.964007522948922,0.024415019694526828,90,77.90897457485879,57
414.93798562024585,38.92597945858518,0.03419357717450325,60,118.80261133187028,52
217.7477936242413,21.213378431660836,0.02549805183690155,90,76.37306238439972,54
598.5321493167144,37.496254565449505,0.044539195796512526,60,224.93255430348802,51
580.9685574312114,10.979937930706093,0.022352091013984617,60,125.06557529994329,59
865.097192050001,22.245493635183728,0.021741391698346418,30,85.80355393475408,56
446.2217918168395,31.965213451086907,0.02063990772370632,30,40.00153204195174,57
853.1085881704498,35.28359318024969,0.02331123475843182,30,84.89009131231214,58
974.3790123518585,33.08162657847643,0.032296198572567485,30,135.8871530312531,56
270.72657869251725,37.910251042937176,0.03828061177090363,60,87.25137316629122,59
833.4542715757063,10.243549929593563,0.0365027167095514,90,441.0186484759427,59
671.9647177101089,14.037647999100859,0.042308712799259185,30,134.9471633434712,57
584.03677361478,44.7577700911658,0.045436559819897,30,107.6179474738323,58
536.4286229320601,37.26994576360645,0.042643161693734055,30,96.62236510931086,55
827.7346111554476,14.517265707440451,0.010757816134974183,90,126.51309556851326,59
711.4890855793939,43.68297749594317,0.03943671814207955,30,114.46958427931116,51
844.0357340154895,19.689248712982675,0.018335982944733265,90,214.47688583009756,51
922.520846941301,29.130395367808937,0.015317121708319306,60,124.54689725213254,53
693.8109696778336,15.807860515386412,0.03553955139196542,60,232.11915398123733,58
984.3701800739022,38.404402256868266,0.022789727816307795,60,188.36989448235323,56
686.4702796335082,36.67417684057071,0.012284686534817731,90,107.20115531812468,51
709.315457297826,18.44449884664545,0.015505189375934455,30,51.113519152548946,57
643.8524868337805,44.53603067428007,0.010037176674798443,30,26.24043134391394,56
272.80167284106426,26.05224096878849,0.046128945093788294,30,56.33030747402003,58
781.1176261201826,21.700603642829673,0.010984719353649544,30,39.24858560938199,57
637.9570455192893,16.093183578581417,0.018378230780380443,30,55.10998182374734,52
560.7283579328835,20.646720500621498,0.026650511227516292,90,206.1310660604546,50
928.3770227226184,10.88107684895268,0.024262853038032765,60,217.03701869532762,51
438.36756123356037,33.33029969824462,0.04646903507651103,30,87.84924748715017,51
618.881820812009,43.689229853757915,0.011611557829381685,60,58.63194910094437,53
758.1134971947707,31.959217977665674,0.030488588307082065,90,301.17879114674076,55
837.1774205391018,18.77095847695503,0.03721917850097496,90,433.74840006109264,53
567.4774463569379,11.346767128554909,0.04726791894724675,30,128.9457625157648,58
873.6731320149677,18.585122930352114,0.03481485008494884,90,423.7973898777327,53
815.134193052318,26.644857122843693,0.04215020944047051,60,306.67955689058397,55
252.9887822814927,40.38445714799186,0.013348997513813937,30,14.02815954586835,55
236.68901312370636,17.513714101510963,0.025437580437477094,30,28.107732617333223,59
696.644547537673,38.79165813418744,0.0249578853791627,60,145.69031249297112,59
477.9307265803314,44.67733873407535,0.045451528658228706,30,88.13456660153896,50
367.30463286281133,28.157873924334282,0.016054846850530997,30,26.11759232487862,57
663.7199475773907,42.85727966570373,0.01607544689346521,60,87.45250572745285,52
473.250568365236,32.18629392140382,0.023142325995431937,30,47.51366940964479,55
629.810733371256,35.4836334832362,0.012178641894673502,30,32.7068077096893,52
568.0953271868576,31.051138413528108,0.0172983216260996,60,85.76793092726405,51
667.812884759323,28.526908670053672,0.04860838554182941,90,430.49968912731754,54
520.2403911282252,19.386137671033975,0.027127357594686916,60,130.57994000304774,50
758.1340589575454,22.127762378441844,0.03528076833689746,30,122.09255428301243,58
344.05381787943884,21.59880475774436,0.039044450373785476,60,122.95656149942738,56
757.2011729816631,32.53155723815259,0.02467845628028802,30,80.92287769819006,52
529.3289714860225,14.798147720955598,0.01588908297642068,30,39.77805596691814,53
