Irradiance,Temperature,Number_of_Cells,Power_Actual,Power_With_Decay,Power_Deviation,Decay_Percentage
499.63209507788997,17.405317153544786,90,77.7907247382034,76.24101467691051,1.5497100612928847,1.992152748940531
960.571445127933,31.676037895134325,90,139.2761082426964,126.8775401360536,12.398568106642813,8.902150026361744
785.595153449124,44.91783343505633,90,106.10375795702822,103.05423413123712,3.0495238257910984,2.8740959646557975
678.9267873576293,39.28899545638245,60,94.56313176881727,91.0852322865263,3.4778994822909652,3.677859877561529
324.81491235394924,42.26244591445799,60,44.51691196055278,44.25830452891502,0.25860743163776334,0.5809195208034978
324.79561626896214,36.35133466842869,60,45.954194636013675,45.44174924508323,0.5124453909304449,1.115122123212764
246.46688973455957,37.6910625807141,90,34.62408841891249,32.83796360576648,1.7861248131460101,5.158619027123281
892.9409166199481,43.96782606261277,60,121.23827650001431,117.99402900696184,3.2442474930524696,2.675926767279715
680.892009394567,19.98672035436744,30,104.69392794786377,95.94695729229194,8.746970655571829,8.354802257421944
766.4580622368364,29.57699854572562,30,112.3376512583622,112.17258918130982,0.16506207705238296,0.14693388654953843
216.46759543664194,18.84837767278409,60,33.46885948540138,32.20007494072609,1.2687845446752917,3.7909404867193617
975.9278817295955,49.50672031986588,30,128.45158852200956,124.11833138567798,4.333257136331582,3.3734554676909267
865.9541126403374,47.76237358746453,30,115.10973862991007,114.88725877558403,0.22247985432603912,0.19327630917601035
369.87128854262096,11.577072454740236,90,59.20425991177774,58.46794600985395,0.7363139019237934,1.2436839900051022
345.4599737656805,38.22300690062754,60,48.39298135210642,46.39124112672913,2.00174022537729,4.136426749186352
346.72360788274705,47.009932696626635,60,46.28501872703893,44.0037940749345,2.2812246521044344,4.928645844474467
443.39379436763016,17.22301380509334,90,69.09526971842278,66.30181880532596,2.7934509130968195,4.042897472548691
619.8051453057903,32.717809222105174,30,89.3831183961066,84.63743185906038,4.745686537046211,5.309376784120938
545.5560149136926,46.619531903521676,30,72.98740298486534,68.64369144632546,4.343711538539878,5.951316749056815
432.98331215843353,11.357839143431953,60,69.37761781827125,69.30876871132087,0.06884910695038116,0.0992382112783563
689.4823157779035,37.8968106898736,30,96.75325519123307,92.26298345167098,4.49027173956209,4.640951594535039
311.59508852163344,21.89396029490203,90,47.46513331589129,42.89187132404235,4.573261991848945,9.634992408875883
433.71571882817454,46.975847815061215,90,57.908904850250295,54.90324575782724,3.005659092423052,5.190322801295487
493.0894746349534,48.842329806614714,60,65.14611978643029,60.73219481480524,4.41392497162505,6.775422674589532
564.8559873736287,47.770659564537354,90,75.08179056243767,72.74026087602675,2.3415296864109223,3.118638579168832
828.1407691144109,28.96856866629855,90,121.75621523646775,112.33238915351394,9.42382608295381,7.739913781527625
359.7390257266878,44.481706039572536,60,48.70460639637601,44.94012274136802,3.764483655007986,7.729214818761151
611.3875507308893,43.78197594140281,90,83.09583290810784,78.7640799809553,4.331752927152536,5.212960476541389
673.931655089634,22.764018929730227,90,102.21992208102209,92.24311638446193,9.976805696560163,9.760138232792135
237.16033017599818,43.1566189660271,90,32.344527214752645,31.938440980931777,0.4060862338208686,1.2555021476265338
686.0358815211507,11.480305388619705,30,109.86162893613387,109.67543912899056,0.18618980714330746,0.16947664889580993
336.4192989498332,33.85079513928212,60,48.229711120545566,44.515260313529495,3.714450807016071,7.701582117570959
252.0412743882236,19.20035349150812,60,38.90250388098467,35.76246673849511,3.140037142489561,8.071555373648826
959.1084298026666,14.822675431091152,60,151.18713281055867,149.3697541791745,1.817378631384173,1.2020722912057624
972.5056264596475,13.078128065168366,30,154.5714096198635,150.46625833373864,4.105151286124851,2.6558283295860607
846.7178784931689,37.85155103512559,30,118.84645325311915,118.63784963988577,0.20860361323337884,0.1755236336662891
443.69101533869656,23.594998550722647,60,67.02119219049113,65.05540291306612,1.9657892774250172,2.933086107805647
